REF_DATE,GEO,DGUID,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015/2016,Prince Edward Island,2016A000211,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114787557,3.2.1.5.1.1.3.1,498,,,,0
2016/2017,Prince Edward Island,2016A000211,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114787557,3.2.1.5.1.1.3.1,573,,,,0
2017/2018,Prince Edward Island,2016A000211,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114787557,3.2.1.5.1.1.3.1,690,,,,0
2018/2019,Prince Edward Island,2016A000211,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114787557,3.2.1.5.1.1.3.1,834,,,,0
2019/2020,Prince Edward Island,2016A000211,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114787557,3.2.1.5.1.1.3.1,1035,,,,0
2020/2021,Prince Edward Island,2016A000211,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114787557,3.2.1.5.1.1.3.1,1179,,,,0
2021/2022,Prince Edward Island,2016A000211,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114787557,3.2.1.5.1.1.3.1,1314,,,,0
2006/2007,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,2865,,,,0
2007/2008,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,2862,,,,0
2008/2009,Nova Scotia,2016A000212,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54521431,4.2.1.5.1.1.3.1,2754,,,,0
