"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","British Columbia","2016A000259","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427488","11.2","31036","","","","0"
"2022/2023","British Columbia","2016A000259","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427488","11.2","32586","","","","0"
"2023/2024","British Columbia","2016A000259","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427488","11.2","33578","","","","0"
"2024/2025","British Columbia","2016A000259","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427488","11.2","35054","","","","0"
"2006/2007","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","15791","","","","0"
"2007/2008","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","16791","","","","0"
"2008/2009","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","15394","","","","0"
"2009/2010","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","17371","","","","0"
"2010/2011","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","18077","","","","0"
"2011/2012","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","19282","","","","0"
"2012/2013","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","18394","","","","0"
"2013/2014","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","19136","","","","0"
"2014/2015","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","20512","","","","0"
"2015/2016","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","22382","","","","0"
"2016/2017","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","23920","","","","0"
"2017/2018","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","26289","","","","0"
"2018/2019","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","27380","","","","0"
"2019/2020","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","28851","","","","0"
"2020/2021","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","29148","","","","0"
"2021/2022","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","32682","","","","0"
"2022/2023","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","35245","","","","0"
"2023/2024","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","38049","","","","0"
"2024/2025","British Columbia","2016A000259","Humanities","Current dollars","75","units","0","v62427489","11.3","39726","","","","0"
"2006/2007","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","15285","","","","0"
"2007/2008","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","16126","","","","0"
"2008/2009","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","16231","","","","0"
"2009/2010","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","17688","","","","0"
"2010/2011","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","18454","","","","0"
"2011/2012","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","19080","","","","0"
"2012/2013","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","18369","","","","0"
"2013/2014","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","19228","","","","0"
"2014/2015","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","19210","","","","0"
"2015/2016","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","20497","","","","0"
"2016/2017","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","22350","","","","0"
"2017/2018","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","24507","","","","0"
"2018/2019","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","26399","","","","0"
"2019/2020","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","28219","","","","0"
"2020/2021","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","29439","","","","0"
"2021/2022","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","32626","","","","0"
"2022/2023","British Columbia","2016A000259","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427490","11.4","34242","","","","0"
